Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2022-02-24,-0.017184359,0.0420594286,0.0406885695,21,100
Market-Adjusted Model,10028,2022-02-24,0.0121359223,0.0698338149,0.0700088508,21,100
Market-Adjusted Model,10032,2022-02-24,0.0473530532,0.1058526946,0.1052259817,21,100
Market-Adjusted Model,10044,2022-02-24,-0.06903423,-0.010398813,-0.011161301,21,100
Market-Adjusted Model,10051,2022-02-24,0.1159505592,0.1714343647,0.1738234877,21,100
Market-Adjusted Model,10065,2022-02-24,-0.060154314,-0.002260281,-0.002281386,21,100
Market-Adjusted Model,10066,2022-02-24,-0.039215686,0.0230752651,0.0186572422,21,100
Market-Adjusted Model,10104,2022-02-24,-0.051243966,0.0093798243,0.0066289627,21,100
Market-Adjusted Model,10107,2022-02-24,-0.060345401,0.0001331248,-0.002472472,21,100
Market-Adjusted Model,10113,2022-02-24,-0.124970414,-0.070556492,-0.067097486,21,100
Market-Adjusted Model,10138,2022-02-24,-0.083950291,-0.026769016,-0.026077362,21,100
Market-Adjusted Model,10145,2022-02-24,-0.047333179,0.0116411341,0.0105397492,21,100
Market-Adjusted Model,10158,2022-02-24,0.5382178218,0.5161299351,0.5960907503,21,100
Market-Adjusted Model,10200,2022-02-24,-0.103372778,-0.037939618,-0.045499849,21,100
Market-Adjusted Model,10207,2022-02-24,0.0431137725,0.1003395094,0.100986701,21,100
Market-Adjusted Model,10220,2022-02-24,0.2133945031,0.260956995,0.2712674316,21,100
Market-Adjusted Model,10232,2022-02-24,0.0083137366,0.0649980979,0.0661866651,21,100
Market-Adjusted Model,10252,2022-02-24,-0.04139035,0.0192162171,0.0164825786,21,100
Market-Adjusted Model,10253,2022-02-24,0.3883898452,0.5774992,0.4462627737,21,100
Market-Adjusted Model,10257,2022-02-24,-0.084246971,-0.015065943,-0.026374042,21,100
Market-Adjusted Model,10258,2022-02-24,0.0015903308,0.0743480516,0.0594632593,21,100
Market-Adjusted Model,10294,2022-02-24,-0.014693172,0.0488667778,0.0431797565,21,100
Market-Adjusted Model,10308,2022-02-24,-0.021305587,0.0392971489,0.036567342,21,100
Market-Adjusted Model,10318,2022-02-24,-0.032636519,0.0268257568,0.0252364097,21,100
Market-Adjusted Model,10333,2022-02-24,0.3343527013,0.3598372104,0.3922256298,21,100
Market-Adjusted Model,10355,2022-02-24,-0.030774594,0.0290112609,0.0270983342,21,100
Market-Adjusted Model,10382,2022-02-24,-0.223938622,-0.186997335,-0.166065693,21,100
Market-Adjusted Model,10397,2022-02-24,-0.031285682,0.0266829136,0.0265872469,21,100
Market-Adjusted Model,10421,2022-02-24,-0.228937729,-0.181021327,-0.1710648,21,100
Market-Adjusted Model,10443,2022-02-24,0.0290299315,0.0880169259,0.08690286,21,100
Market-Adjusted Model,10463,2022-02-24,0.6466431095,0.6139686903,0.7045160381,21,100
Market-Adjusted Model,10501,2022-02-24,0.0618390393,0.127662957,0.1197119678,21,100
Market-Adjusted Model,10514,2022-02-24,-0.101204819,-0.044781547,-0.043331891,21,100
